site.name,std.type,sub.type,time,sub.conc,replicate,signal
tyson,amc,l-leucine-amc,0,0,1,33980.66
tyson,amc,l-leucine-amc,10,0,1,33957.96
tyson,amc,l-leucine-amc,20,0,1,33960.55
tyson,amc,l-leucine-amc,30,0,1,34575.85
tyson,amc,l-leucine-amc,40,0,1,34747.77
tyson,amc,l-leucine-amc,0,0,2,33649.45
tyson,amc,l-leucine-amc,10,0,2,33887.62
tyson,amc,l-leucine-amc,20,0,2,34167.03
tyson,amc,l-leucine-amc,30,0,2,34134.13
tyson,amc,l-leucine-amc,40,0,2,34113.62
tyson,amc,l-leucine-amc,0,0,3,33452.68
tyson,amc,l-leucine-amc,10,0,3,33951.5
tyson,amc,l-leucine-amc,20,0,3,34134.13
tyson,amc,l-leucine-amc,30,0,3,34077.44
tyson,amc,l-leucine-amc,40,0,3,34179.89
tyson,amc,l-leucine-amc,0,50,1,37225.27
tyson,amc,l-leucine-amc,10,50,1,78490.17
tyson,amc,l-leucine-amc,20,50,1,114061.52
tyson,amc,l-leucine-amc,30,50,1,144895.21
tyson,amc,l-leucine-amc,40,50,1,174165.14
tyson,amc,l-leucine-amc,0,50,2,36989.9
tyson,amc,l-leucine-amc,10,50,2,80344.33
tyson,amc,l-leucine-amc,20,50,2,114532.25
tyson,amc,l-leucine-amc,30,50,2,147203.6
tyson,amc,l-leucine-amc,40,50,2,176990.1
tyson,amc,l-leucine-amc,0,50,3,37323.56
tyson,amc,l-leucine-amc,10,50,3,78053.29
tyson,amc,l-leucine-amc,20,50,3,112392.05
tyson,amc,l-leucine-amc,30,50,3,146584.89
tyson,amc,l-leucine-amc,40,50,3,171808.81
tyson,amc,l-leucine-amc,0,100,1,39521.86
tyson,amc,l-leucine-amc,10,100,1,101013.4
tyson,amc,l-leucine-amc,20,100,1,147244.28
tyson,amc,l-leucine-amc,30,100,1,190415.79
tyson,amc,l-leucine-amc,40,100,1,230969.62
tyson,amc,l-leucine-amc,0,100,2,39848.01
tyson,amc,l-leucine-amc,10,100,2,101763.03
tyson,amc,l-leucine-amc,20,100,2,149522.4
tyson,amc,l-leucine-amc,30,100,2,193899.96
tyson,amc,l-leucine-amc,40,100,2,235708.32
tyson,amc,l-leucine-amc,0,100,3,39902.98
tyson,amc,l-leucine-amc,10,100,3,99316.25
tyson,amc,l-leucine-amc,20,100,3,146325.46
tyson,amc,l-leucine-amc,30,100,3,187896.42
tyson,amc,l-leucine-amc,40,100,3,228935.32
tyson,amc,l-leucine-amc,0,200,1,42632.73
tyson,amc,l-leucine-amc,10,200,1,120263.32
tyson,amc,l-leucine-amc,20,200,1,185416.28
tyson,amc,l-leucine-amc,30,200,1,244105.28
tyson,amc,l-leucine-amc,40,200,1,302165.25
tyson,amc,l-leucine-amc,0,200,2,43329.89
tyson,amc,l-leucine-amc,10,200,2,120590.2
tyson,amc,l-leucine-amc,20,200,2,184479.21
tyson,amc,l-leucine-amc,30,200,2,241266.2
tyson,amc,l-leucine-amc,40,200,2,298442.81
tyson,amc,l-leucine-amc,0,200,3,50810.35
tyson,amc,l-leucine-amc,10,200,3,125158.34
tyson,amc,l-leucine-amc,20,200,3,186165.75
tyson,amc,l-leucine-amc,30,200,3,243903.78
tyson,amc,l-leucine-amc,40,200,3,298530.03
tyson,amc,l-leucine-amc,0,300,1,47076.79
tyson,amc,l-leucine-amc,10,300,1,131984.84
tyson,amc,l-leucine-amc,20,300,1,201508.89
tyson,amc,l-leucine-amc,30,300,1,267456.18
tyson,amc,l-leucine-amc,40,300,1,332709.43
tyson,amc,l-leucine-amc,0,300,2,48002.16
tyson,amc,l-leucine-amc,10,300,2,134010.46
tyson,amc,l-leucine-amc,20,300,2,202764.76
tyson,amc,l-leucine-amc,30,300,2,267868.59
tyson,amc,l-leucine-amc,40,300,2,334641.09
tyson,amc,l-leucine-amc,0,300,3,50291.98
tyson,amc,l-leucine-amc,10,300,3,135714.14
tyson,amc,l-leucine-amc,20,300,3,204138.75
tyson,amc,l-leucine-amc,30,300,3,267520.96
tyson,amc,l-leucine-amc,40,300,3,333253.34
tyson,amc,l-leucine-amc,0,400,1,50370.83
tyson,amc,l-leucine-amc,10,400,1,140308.73
tyson,amc,l-leucine-amc,20,400,1,220437.01
tyson,amc,l-leucine-amc,30,400,1,291885.75
tyson,amc,l-leucine-amc,40,400,1,364529.9
tyson,amc,l-leucine-amc,0,400,2,52025.77
tyson,amc,l-leucine-amc,10,400,2,143667.6
tyson,amc,l-leucine-amc,20,400,2,224413.67
tyson,amc,l-leucine-amc,30,400,2,296462.59
tyson,amc,l-leucine-amc,40,400,2,368590.06
tyson,amc,l-leucine-amc,0,400,3,52814.32
tyson,amc,l-leucine-amc,10,400,3,144611.04
tyson,amc,l-leucine-amc,20,400,3,224220.15
tyson,amc,l-leucine-amc,30,400,3,300852.31
tyson,amc,l-leucine-amc,40,400,3,373514.31
tyson,pna,l-leucine-pna,0,0,1,33980.66
tyson,pna,l-leucine-pna,10,0,1,33957.96
tyson,pna,l-leucine-pna,20,0,1,33960.55
tyson,pna,l-leucine-pna,30,0,1,34575.85
tyson,pna,l-leucine-pna,40,0,1,34747.77
tyson,pna,l-leucine-pna,0,0,2,33649.45
tyson,pna,l-leucine-pna,10,0,2,33887.62
tyson,pna,l-leucine-pna,20,0,2,34167.03
tyson,pna,l-leucine-pna,30,0,2,34134.13
tyson,pna,l-leucine-pna,40,0,2,34113.62
tyson,pna,l-leucine-pna,0,0,3,33452.68
tyson,pna,l-leucine-pna,10,0,3,33951.5
tyson,pna,l-leucine-pna,20,0,3,34134.13
tyson,pna,l-leucine-pna,30,0,3,34077.44
tyson,pna,l-leucine-pna,40,0,3,34179.89
tyson,pna,l-leucine-pna,0,50,1,37225.27
tyson,pna,l-leucine-pna,10,50,1,78490.17
tyson,pna,l-leucine-pna,20,50,1,114061.52
tyson,pna,l-leucine-pna,30,50,1,144895.21
tyson,pna,l-leucine-pna,40,50,1,174165.14
tyson,pna,l-leucine-pna,0,50,2,36989.9
tyson,pna,l-leucine-pna,10,50,2,80344.33
tyson,pna,l-leucine-pna,20,50,2,114532.25
tyson,pna,l-leucine-pna,30,50,2,147203.6
tyson,pna,l-leucine-pna,40,50,2,176990.1
tyson,pna,l-leucine-pna,0,50,3,37323.56
tyson,pna,l-leucine-pna,10,50,3,78053.29
tyson,pna,l-leucine-pna,20,50,3,112392.05
tyson,pna,l-leucine-pna,30,50,3,146584.89
tyson,pna,l-leucine-pna,40,50,3,171808.81
tyson,pna,l-leucine-pna,0,100,1,39521.86
tyson,pna,l-leucine-pna,10,100,1,101013.4
tyson,pna,l-leucine-pna,20,100,1,147244.28
tyson,pna,l-leucine-pna,30,100,1,190415.79
tyson,pna,l-leucine-pna,40,100,1,230969.62
tyson,pna,l-leucine-pna,0,100,2,39848.01
tyson,pna,l-leucine-pna,10,100,2,101763.03
tyson,pna,l-leucine-pna,20,100,2,149522.4
tyson,pna,l-leucine-pna,30,100,2,193899.96
tyson,pna,l-leucine-pna,40,100,2,235708.32
tyson,pna,l-leucine-pna,0,100,3,39902.98
tyson,pna,l-leucine-pna,10,100,3,99316.25
tyson,pna,l-leucine-pna,20,100,3,146325.46
tyson,pna,l-leucine-pna,30,100,3,187896.42
tyson,pna,l-leucine-pna,40,100,3,228935.32
tyson,pna,l-leucine-pna,0,200,1,42632.73
tyson,pna,l-leucine-pna,10,200,1,120263.32
tyson,pna,l-leucine-pna,20,200,1,185416.28
tyson,pna,l-leucine-pna,30,200,1,244105.28
tyson,pna,l-leucine-pna,40,200,1,302165.25
tyson,pna,l-leucine-pna,0,200,2,43329.89
tyson,pna,l-leucine-pna,10,200,2,120590.2
tyson,pna,l-leucine-pna,20,200,2,184479.21
tyson,pna,l-leucine-pna,30,200,2,241266.2
tyson,pna,l-leucine-pna,40,200,2,298442.81
tyson,pna,l-leucine-pna,0,200,3,50810.35
tyson,pna,l-leucine-pna,10,200,3,125158.34
tyson,pna,l-leucine-pna,20,200,3,186165.75
tyson,pna,l-leucine-pna,30,200,3,243903.78
tyson,pna,l-leucine-pna,40,200,3,298530.03
tyson,pna,l-leucine-pna,0,300,1,47076.79
tyson,pna,l-leucine-pna,10,300,1,131984.84
tyson,pna,l-leucine-pna,20,300,1,201508.89
tyson,pna,l-leucine-pna,30,300,1,267456.18
tyson,pna,l-leucine-pna,40,300,1,332709.43
tyson,pna,l-leucine-pna,0,300,2,48002.16
tyson,pna,l-leucine-pna,10,300,2,134010.46
tyson,pna,l-leucine-pna,20,300,2,202764.76
tyson,pna,l-leucine-pna,30,300,2,267868.59
tyson,pna,l-leucine-pna,40,300,2,334641.09
tyson,pna,l-leucine-pna,0,300,3,50291.98
tyson,pna,l-leucine-pna,10,300,3,135714.14
tyson,pna,l-leucine-pna,20,300,3,204138.75
tyson,pna,l-leucine-pna,30,300,3,267520.96
tyson,pna,l-leucine-pna,40,300,3,333253.34
tyson,pna,l-leucine-pna,0,400,1,50370.83
tyson,pna,l-leucine-pna,10,400,1,140308.73
tyson,pna,l-leucine-pna,20,400,1,220437.01
tyson,pna,l-leucine-pna,30,400,1,291885.75
tyson,pna,l-leucine-pna,40,400,1,364529.9
tyson,pna,l-leucine-pna,0,400,2,52025.77
tyson,pna,l-leucine-pna,10,400,2,143667.6
tyson,pna,l-leucine-pna,20,400,2,224413.67
tyson,pna,l-leucine-pna,30,400,2,296462.59
tyson,pna,l-leucine-pna,40,400,2,368590.06
tyson,pna,l-leucine-pna,0,400,3,52814.32
tyson,pna,l-leucine-pna,10,400,3,144611.04
tyson,pna,l-leucine-pna,20,400,3,224220.15
tyson,pna,l-leucine-pna,30,400,3,300852.31
tyson,pna,l-leucine-pna,40,400,3,373514.31
